,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,album_cover_url,track_duration_ms,explicit,track_number,disc_number,track_preview_url,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
914,El Spiffo,Trappin' Out a Mansion,12lUCKGM6G02UdSi1mGi0o,0,Spiffo Krazy 3,7F1fBevil7CK21zkOlzeDp,2018-10-31,album,https://i.scdn.co/image/ab67616d0000b27360c2eea088d6efa42ceb636c,192444,True,4,1,https://p.scdn.co/mp3-preview/a267df7808d3dcf5a7b80b42bf8b977f3fb1d9a7?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:12lUCKGM6G02UdSi1mGi0o,0.76,0.43,1,-8.321,1,0.178,0.348,0.0,0.723,0.259,77.548,5IOtHX3S0Vbmcgzq9QlSmn,spotify:artist:5IOtHX3S0Vbmcgzq9QlSmn,[],0
915,WAEFM,Let It In and Let It Out,6ZDhHccT6LoDBuH96rkXDz,0,Let It In and Let It Out,1fYdQR32PljpTvvKBdgt0M,2018-03-23,single,https://i.scdn.co/image/ab67616d0000b273c1e943de8ecd76d1ec8324ba,285231,False,1,1,https://p.scdn.co/mp3-preview/06b7f81fa5b912dcc7bb1cb4714095c41e954e12?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:6ZDhHccT6LoDBuH96rkXDz,0.569,0.476,0,-12.023,1,0.0272,0.59,0.227,0.487,0.2,130.012,3q8atDcM6zphrxEn6cOdcJ,spotify:artist:3q8atDcM6zphrxEn6cOdcJ,[],0
916,Franz Dany,Angué na Parisien,4uTmobNWhKogAJBWTfICRJ,0,Vie privée,0kTJn26roV133HrfVlRpVP,2018-03-02,album,https://i.scdn.co/image/ab67616d0000b273a110fe5e91e1b11917033a76,196080,False,1,1,https://p.scdn.co/mp3-preview/c413f6c704da031ad4b65930e122cc907efc4fec?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:4uTmobNWhKogAJBWTfICRJ,0.821,0.736,9,-7.47,0,0.299,0.267,0.0,0.0782,0.652,125.137,6hKpnfSSPxOlQsoZgOQESD,spotify:artist:6hKpnfSSPxOlQsoZgOQESD,[],0
917,Rain for Deep Sleep,Stress Will Melt,1UYajR6hKD2jjse9XTcNir,0,50 Ultimate Nature Melodies for Mind & Body Relaxation,1YGoNQwUWgYW4fT9mwbwA0,2018-12-13,album,https://i.scdn.co/image/ab67616d0000b2739e02eb9b85383c8ee7ff2483,91870,False,49,1,https://p.scdn.co/mp3-preview/3df2f354a1a712074373c1238a1cc5341cc4fadd?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:1UYajR6hKD2jjse9XTcNir,0.178,0.0244,0,-28.691,1,0.0449,0.992,0.934,0.101,0.0374,51.408,5BFLLBEz1g8FcRjBLCVt3e,spotify:artist:5BFLLBEz1g8FcRjBLCVt3e,"['environmental', 'sleep']",46
918,Leonardo Svidercoschi,Nile,0QyvTrUOT0bjB16phT4pMq,0,Relaxing Music to Heal Feel Your Mind Open,5ZuvzNWxPatW8oLIXFizkZ,2018-09-05,compilation,https://i.scdn.co/image/ab67616d0000b27321619273a2ca01d46fbbb7df,224293,False,9,1,https://p.scdn.co/mp3-preview/1a82aff1c03f25725201c542ee3bd77d52de3c77?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0QyvTrUOT0bjB16phT4pMq,0.632,0.275,2,-15.942,0,0.0663,0.928,0.947,0.0879,0.428,87.92,76d97VMEehAabF38WTviA5,spotify:artist:76d97VMEehAabF38WTviA5,[],0
919,Spa & Spa,Wonderful,0HjwlEWGcDkE9VtQdu7bFc,0,40 Beautiful Nature Relaxation Tracks,2oyrqpuDLWVNhr3XRlB6A0,2018-05-29,album,https://i.scdn.co/image/ab67616d0000b2736fc9e7b723de00ab3b8fbf5f,172380,False,17,1,https://p.scdn.co/mp3-preview/25a62449d3ad190cd815e2aa1d53e8d9dabaf4db?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0HjwlEWGcDkE9VtQdu7bFc,0.238,0.208,9,-19.984,0,0.0405,0.931,0.975,0.096,0.198,123.952,516u60Gd865Vf6EQ4kLJCs,spotify:artist:516u60Gd865Vf6EQ4kLJCs,['sleep'],29
920,Asian Zen Spa Music Meditation,Revocation Of Anxiety,6dXYdbrdwFAs8VGB0xTUZt,0,43 Bound In The Mind,7LDZTWrJ7WShJdl8QymNJs,2018-07-26,album,https://i.scdn.co/image/ab67616d0000b273ab0ee5a02641b0383f5db152,83906,False,32,1,https://p.scdn.co/mp3-preview/0f0e3f80bff8aaad0fd8856596df02e1f4b1b4c5?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:6dXYdbrdwFAs8VGB0xTUZt,0.253,0.00698,0,-30.551,1,0.0495,0.99,0.989,0.101,0.0354,120.253,0fJRie9aBdCminvDWMCRuC,spotify:artist:0fJRie9aBdCminvDWMCRuC,"['spa', 'zen']",39
921,The Film Festival Orchestra,The Entertainer from The Sting,4lmGUC48Dtr2LZG1RbkB8N,0,Star Wars - 20 Big Movie Hits,0NP6bS362A8HeOhQhU29l6,2018-03-28,album,https://i.scdn.co/image/ab67616d0000b2738d29240ee9a31d60061582ba,180040,False,20,1,https://p.scdn.co/mp3-preview/3c779e692379e575ece002e0cfd1a7f02ed59c54?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:4lmGUC48Dtr2LZG1RbkB8N,0.558,0.518,1,-9.257,1,0.0441,0.938,0.863,0.0904,0.733,160.686,7z5UjewKLdryV2GrlDKB7H,spotify:artist:7z5UjewKLdryV2GrlDKB7H,[],0
922,Harmonie Zen,Flöte und Regen,4YSfIYFZK4CzOJXmwrOEw4,0,Tiefe Harmonie - Sanfte Musik im Hintergrund & Naturgeräusche,3MTefB5wApZXtVbJT9HloY,2018-01-16,album,https://i.scdn.co/image/ab67616d0000b273758151c5790b9c4cadd5f308,279999,False,17,1,https://p.scdn.co/mp3-preview/363ce9d313235839bcd58f34a8d2a873218d4e94?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:4YSfIYFZK4CzOJXmwrOEw4,0.673,0.0333,1,-32.99,0,0.0507,0.994,0.972,0.114,0.403,67.026,3sHfy6fBlJNrN0gnRSsbkk,spotify:artist:3sHfy6fBlJNrN0gnRSsbkk,[],0
923,Atomica Music,Saving Humanity,6jB5RanHJUrAFHpLMR1Z3A,0,"Epic Orchestral Drama, Vol. 1",1VZInSXfU8RtReM2LlhJWI,2018-11-07,album,https://i.scdn.co/image/ab67616d0000b273048246207df90618b58504a6,197589,False,7,1,https://p.scdn.co/mp3-preview/20bf91ea4c5a6f44ead7b4e6ba641d5daaf71669?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:6jB5RanHJUrAFHpLMR1Z3A,0.417,0.377,0,-13.687,0,0.0551,0.303,0.931,0.104,0.038,130.028,1ZU0n50pH91TKwIVUhJ0pR,spotify:artist:1ZU0n50pH91TKwIVUhJ0pR,[],17
