artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
Isabel LaRosa,i'm yours,37vVp2sWHuuIBOSl1NswP6,82,i'm yours,3Q25UtV9pHu7onNcKwmmZ3,2022-10-28,single,145667,False,1,1,0.398,0.705,5,-7.07,0,0.0756,0.204,5.13e-05,0.443,0.635,111.487,5arKwJZEvT5uKq4o0JfqR4,spotify:artist:5arKwJZEvT5uKq4o0JfqR4,"['dark r&b', 'hyperpop', 'sped up']",76
Suki Waterhouse,Good Looking,0j3mqDTK4Z6lvrLzFCUUz6,82,Good Looking,78rO0EfpVs1RPfpxzF6kUz,2022-08-18,single,214800,False,1,1,0.365,0.554,4,-9.076,1,0.03,0.079,0.000358,0.125,0.259,150.11,5GGJosGMs08YEmKTZJe1fL,spotify:artist:5GGJosGMs08YEmKTZJe1fL,['indie pop'],67
LA SAD,TOXIC,4TF2IPm9ZNs4xowapURvKv,59,STO NELLA SAD DELUXE,2AaGTApQp7KVUYCfzlfl4S,2022-12-16,album,185386,True,2,1,0.689,0.883,8,-5.135,1,0.0972,0.0522,0.0,0.0665,0.593,89.99,1y5nSaw0Am7fIEDAkrfgjY,spotify:artist:1y5nSaw0Am7fIEDAkrfgjY,[],57
Louis Villain,Fuego,3g2LVzLNHGUoSPRWsOFiAp,59,Maestro,5tSaoIKdFl6ntVJxu2ICdf,2022-11-25,album,166000,True,13,1,0.901,0.571,11,-8.68,0,0.073,0.541,0.0,0.0933,0.554,120.013,5k96hVqrpJoo0zmlVggVzv,spotify:artist:5k96hVqrpJoo0zmlVggVzv,['polish hip hop'],57
Jessica Shy,Rast Atsakymą,4RnLdvbfw7Uy90pc6DaXyJ,39,Apkabinti Prisiminimus,7a6yvohFsFbRkQarmnJHcz,2022-01-25,album,164000,False,3,1,0.941,0.639,11,-5.563,0,0.0401,0.412,0.0686,0.0804,0.927,120.025,0CinAWYkte8opxVAPI3nMu,spotify:artist:0CinAWYkte8opxVAPI3nMu,['lithuanian pop'],50
OG Version,SYPSENA VEIDE (feat. Proflame),64pRdXe9ySW0N0Pgd3nGQJ,37,BILIETAS I ROJU,0ilD8GaVRbNbeSwqbNPXvD,2022-08-26,album,168126,False,2,1,0.845,0.444,4,-9.498,0,0.086,0.238,0.0,0.0783,0.353,126.988,0Y2zzjMum7MSOCvI0GNbv5,spotify:artist:0Y2zzjMum7MSOCvI0GNbv5,"['lithuanian hip hop', 'lithuanian trap']",46
Marcus.p,Without City Lights,7Kc6FSzhU8hGr39HS92iNm,19,Without City Lights,0gD9q6MPY3EGsuUGD3hSNY,2022-01-07,single,179154,False,1,1,0.693,0.476,8,-11.4,1,0.158,0.326,1.96e-05,0.109,0.589,142.081,22tfKirOSGSy8qibScNBCQ,spotify:artist:22tfKirOSGSy8qibScNBCQ,[],5
El Morro,Se Murió el Pajarito,70x6yV9mefXJl6ttWJLjog,14,Éxitos Sólo Pa’ Chavorrucos,1fdM9zMyj3t2hQSYLBo25l,2022-03-08,album,175008,False,4,1,0.663,0.481,2,-8.195,1,0.0365,0.351,4.84e-06,0.0976,0.761,116.265,1iTeqGgsogBESqeMJK2Kp8,spotify:artist:1iTeqGgsogBESqeMJK2Kp8,[],27
El Morro,Se Murió el Pajarito,70x6yV9mefXJl6ttWJLjog,14,Éxitos Sólo Pa’ Chavorrucos,1fdM9zMyj3t2hQSYLBo25l,2022-03-08,album,175008,False,4,1,0.663,0.481,2,-8.195,1,0.0365,0.351,4.84e-06,0.0976,0.761,116.265,1iTeqGgsogBESqeMJK2Kp8,spotify:artist:1iTeqGgsogBESqeMJK2Kp8,[],27
Train Ambiance,Train Noises (Sound for Sleep),1ac3kjI2Ohn6KcZywVnhBG,12,Long Train Sounds for Sleep,295I89Sz8FzdatTZtn8z8n,2022-05-30,album,246000,False,3,1,0.182,0.25,1,-33.515,1,0.0856,0.836,0.788,0.112,0.0982,97.34,1antSXZEzcTjBKzJd256DP,spotify:artist:1antSXZEzcTjBKzJd256DP,[],23
Theva,Ilam ratham (Intro),6FY6hysO9cpXY2YudcJte0,7,Ilam Ratham,5OtdBFMRMBAvmxq8XBrpcC,2022-03-25,album,161454,False,1,1,0.897,0.754,10,-8.854,1,0.0946,0.861,0.214,0.1,0.468,109.976,0VgYPF6U7B7iMzuS01Mt7M,spotify:artist:0VgYPF6U7B7iMzuS01Mt7M,['tamil hip hop'],16
Take Lead,Cliff,7pn19bCRTZkGXctC8Wa41l,6,Cliff,46FCcrGjoVsMn5tgBPq7vt,2022-11-18,single,232013,False,1,1,0.748,0.794,7,-5.516,1,0.0389,0.188,9.71e-05,0.157,0.478,122.986,4OieBYlq6elrsHx1CPUw1a,spotify:artist:4OieBYlq6elrsHx1CPUw1a,[],8
Aventureros Los Principez de la Musica P'urhépecha,Eloisita,4hvjibXduITiDlKyjuebZC,6,Corazoncito Roto,3MiJWsuN74jHfD6mMDMUdG,2022-08-08,album,249646,False,9,1,0.719,0.86,5,-5.418,1,0.0277,0.499,2.31e-05,0.311,0.864,133.178,6wV8RT0V7mrPQQ04vszk2w,spotify:artist:6wV8RT0V7mrPQQ04vszk2w,['musica purepecha'],17
Take Lead,Cliff,7pn19bCRTZkGXctC8Wa41l,6,Cliff,46FCcrGjoVsMn5tgBPq7vt,2022-11-18,single,232013,False,1,1,0.748,0.794,7,-5.516,1,0.0389,0.188,9.71e-05,0.157,0.478,122.986,4OieBYlq6elrsHx1CPUw1a,spotify:artist:4OieBYlq6elrsHx1CPUw1a,[],8
Roshty,Hard To Do - Radio Edit,6BcWZcjFw5dz7oSYQzWayw,6,Given Up,6g7NkUXaxhWAQ8kY9RBGHY,2022-07-09,single,148867,False,6,1,0.79,0.578,7,-10.642,1,0.0519,0.00105,0.904,0.0936,0.0636,121.037,5aZruiN2k3sMg5t4YvMuli,spotify:artist:5aZruiN2k3sMg5t4YvMuli,[],6
Aventureros Los Principez de la Musica P'urhépecha,Eloisita,4hvjibXduITiDlKyjuebZC,6,Corazoncito Roto,3MiJWsuN74jHfD6mMDMUdG,2022-08-08,album,249646,False,9,1,0.719,0.86,5,-5.418,1,0.0277,0.499,2.31e-05,0.311,0.864,133.178,6wV8RT0V7mrPQQ04vszk2w,spotify:artist:6wV8RT0V7mrPQQ04vszk2w,['musica purepecha'],17
Emmy Rich,Flowing Stream,2bxk18SNZBgV3AwP3G8dN2,5,Impressions,7iL8n3DB0J6Fy1iM6ivG4w,2022-09-30,album,260036,False,4,1,0.256,0.215,0,-17.225,1,0.0406,0.959,0.803,0.129,0.155,81.094,4Pdi5fNR4NmIn6Ny1ByNqt,spotify:artist:4Pdi5fNR4NmIn6Ny1ByNqt,[],14
蒋雪萱,拨浪鼓,4PKHApxfs2vbQDu8ZNRymv,5,希望中等待,3ix5qkCW2GYS75cKadE8Qe,2022-04-14,album,80179,False,7,1,0.405,0.57,11,-14.232,0,0.0664,0.696,0.897,0.0672,0.592,86.557,4h6uwrbxmcKiFfqN5cCkzU,spotify:artist:4h6uwrbxmcKiFfqN5cCkzU,[],12
Baby Doll,PARADISE,0ObVL4qFBwGzvqGE8Pit5a,5,PARADISE,6yX6HFVQaCKv796ftkpI8a,2022-04-29,single,232325,True,1,1,0.548,0.695,4,-8.316,0,0.0607,0.000138,0.0502,0.11,0.225,171.958,4htyNjCI51sL6pterwxVCq,spotify:artist:4htyNjCI51sL6pterwxVCq,[],5
Baby Doll,PARADISE,0ObVL4qFBwGzvqGE8Pit5a,5,PARADISE,6yX6HFVQaCKv796ftkpI8a,2022-04-29,single,232325,True,1,1,0.548,0.695,4,-8.316,0,0.0607,0.000138,0.0502,0.11,0.225,171.958,4htyNjCI51sL6pterwxVCq,spotify:artist:4htyNjCI51sL6pterwxVCq,[],5
蒋雪萱,拨浪鼓,4PKHApxfs2vbQDu8ZNRymv,5,希望中等待,3ix5qkCW2GYS75cKadE8Qe,2022-04-14,album,80179,False,7,1,0.405,0.57,11,-14.232,0,0.0664,0.696,0.897,0.0672,0.592,86.557,4h6uwrbxmcKiFfqN5cCkzU,spotify:artist:4h6uwrbxmcKiFfqN5cCkzU,[],12
Gorillaz,Feel Good Inc,1QLNh5NDVpo9p0U2378kHY,5,halloween party 2022,41a4XMdWf14B7mBcVQ3aoa,2022-09-16,compilation,222640,False,5,1,0.817,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.771,138.559,3AA28KZvwAUcZuOKwyblJQ,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,"['alternative hip hop', 'modern rock', 'rock']",77
Holy Paladin,romance,2lSsITSv7DqVLKqWLcoVlU,2,Reflections,0I45pULzaau4vCO3RhKrZR,2022-11-11,album,144374,True,6,1,0.61,0.727,6,-5.593,0,0.0437,0.455,0.0,0.101,0.222,147.805,1X2ljQILWjF0CKkBQ789N6,spotify:artist:1X2ljQILWjF0CKkBQ789N6,[],2
The Hipocrats,Mann Simmadown,4PZUdXvb9O7MbG7KHjkpz3,2,Road to Joy,12QVfo5Jz9HWRIJ2XouLWC,2022-06-10,single,243906,False,2,1,0.757,0.616,7,-8.055,0,0.0413,0.00493,1.77e-05,0.134,0.717,112.001,4UN4815wBUQRC5dmSzKk5V,spotify:artist:4UN4815wBUQRC5dmSzKk5V,[],6
