,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,album_cover_url,track_duration_ms,explicit,track_number,disc_number,track_preview_url,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
0,ヨルシカ,あの夏に咲け,4Z8WSP6i30vg05WTDyvw0X,58,夏草が邪魔をする,3o5yzVy1ZXMfyATfj9OjbV,2017-06-28,album,https://i.scdn.co/image/ab67616d0000b27318b1145d9883e5b140151fa9,258876,False,4,1,https://p.scdn.co/mp3-preview/f6130a79926e47d89fbce8cfceeea27bb81ee815?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:4Z8WSP6i30vg05WTDyvw0X,0.541,0.949,2,-2.845,1,0.0928,0.0923,0.0,0.251,0.841,160.027,4UK2Lzi6fBfUi9rpDt6cik,spotify:artist:4UK2Lzi6fBfUi9rpDt6cik,['j-pop'],70
1,The War On Drugs,Thinking of a Place,4Sd5tbNP4q8wS64abqwfkN,56,A Deeper Understanding,4TkmrrpjlPoCPpGyDN3rkF,2017-08-25,album,https://i.scdn.co/image/ab67616d0000b2731cf9827de8b8dbc2fbc16f65,670666,False,7,1,https://p.scdn.co/mp3-preview/c91efac40cd5b46953d82fce53c6a0090c785e63?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:4Sd5tbNP4q8wS64abqwfkN,0.481,0.632,11,-7.117,1,0.0333,0.385,0.0817,0.116,0.156,103.323,6g0mn3tzAds6aVeUYRsryU,spotify:artist:6g0mn3tzAds6aVeUYRsryU,"['chamber pop', 'indie rock', 'modern rock', 'philly indie']",57
2,My Hair is Bad,元彼女として,61ljG8KY152M7NbRcXXAes,53,mothers,7LQUZNtqevg1F9oOEnt6Lr,2017-11-22,album,https://i.scdn.co/image/ab67616d0000b27328f1edd2e632200c7b3362ea,122946,False,6,1,,spotify:track:61ljG8KY152M7NbRcXXAes,0.573,0.952,8,-3.144,1,0.126,0.0449,0.0,0.17,0.732,146.836,0d4XqzcMpgP6eQZ6TIW2pI,spotify:artist:0d4XqzcMpgP6eQZ6TIW2pI,['modern j-rock'],53
3,Monde des Titounis,Les roues de l'autobus,78nD0cBELsGioo1vEhGCgc,51,Comptines pour bébés (Titounis Best of),2ywaMC0beADGLXe8rbIfNI,2017-12-02,compilation,https://i.scdn.co/image/ab67616d0000b273895fa44ff9f82e35549a1580,99600,False,1,1,https://p.scdn.co/mp3-preview/c08da6520b9ea184a7a7d18ed2ea93fec9c94797?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:78nD0cBELsGioo1vEhGCgc,0.791,0.64,0,-6.24,1,0.138,0.788,0.00196,0.385,0.786,99.944,2ojTzBORrgTPHsG4aUXq6e,spotify:artist:2ojTzBORrgTPHsG4aUXq6e,['musique pour enfants'],50
4,Seu Pereira e Coletivo 401,Eu Não Sou Boa Influência pra Você,77nBlfiqjoo0bKQT0fkGr6,47,Eu Não Sou Boa Influência pra Você,1cmFBmekEtPb2fK9I0H5cc,2017-10-01,album,https://i.scdn.co/image/ab67616d0000b2730504fd92867c6ded742de228,280106,False,1,1,https://p.scdn.co/mp3-preview/b65151097e9e837a847113cb4fc178c1879b62bb?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:77nBlfiqjoo0bKQT0fkGr6,0.678,0.721,11,-6.844,0,0.0322,0.235,0.00315,0.131,0.684,127.97,5dk0R5am4zMYmG6uyZwfkW,spotify:artist:5dk0R5am4zMYmG6uyZwfkW,"['musica paraibana', 'rock paraibano']",41
5,Stoja,Moje Srce Ostariti Ne Sme,0Lk5eM79eidOSKF3t6IrfO,41,The Best of Stoja,7oNuries4PogMHRhVGZrdG,2017-03-06,compilation,https://i.scdn.co/image/ab67616d0000b27342d8939e7f8ba59877d3a5ec,198053,False,8,1,https://p.scdn.co/mp3-preview/6b4d4a8564deec07ed104985d1f49e9ad4fad520?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:0Lk5eM79eidOSKF3t6IrfO,0.634,0.858,4,-2.902,0,0.0405,0.363,0.0,0.347,0.941,79.977,76uZxKWThuSOXRQlHy5xP6,spotify:artist:76uZxKWThuSOXRQlHy5xP6,['turbo folk'],45
6,Youness,Moul chateau,0Sfpq4iigHetogUwrfRX8u,39,Moul chateau,1qOUBSbPwlQb8RifuOOl7G,2017-05-01,single,https://i.scdn.co/image/ab67616d0000b27311064934ba7162059e248aae,225094,False,1,1,https://p.scdn.co/mp3-preview/c57b1b4cd1ab30f8ff87ba056660349ae31bd21b?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:0Sfpq4iigHetogUwrfRX8u,0.765,0.847,7,-3.957,1,0.0705,0.282,0.0,0.114,0.903,103.998,0osxbk6eRZnaCeBtFM2rHS,spotify:artist:0osxbk6eRZnaCeBtFM2rHS,['moroccan pop'],29
7,Харцизи,Від зими до літа,28s6m8oD4EPoVh6sBNHwWR,35,Щось справжнє,72H3pfoh2HUlCrbqEiftQM,2017-07-28,album,https://i.scdn.co/image/ab67616d0000b273c6d25d8f13f1ed5ac318bc6a,146912,False,3,1,https://p.scdn.co/mp3-preview/3b2300ca02ae05bd4d555fa52d0e7ec4d6ee52f3?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:28s6m8oD4EPoVh6sBNHwWR,0.589,0.515,10,-8.976,1,0.0827,0.733,0.00917,0.111,0.423,89.891,7f71uxsHmte2UkACZzGKMl,spotify:artist:7f71uxsHmte2UkACZzGKMl,['ukrainian rock'],35
8,Loyiso,Ndimbonile,52IJVywghoqjbdPbmQtDLY,35,Ndimbonile,4e1Fv6MEwmUyzq4CIERgwi,2017-11-03,single,https://i.scdn.co/image/ab67616d0000b2734fa67ae4f01fc68f1c615364,212871,False,1,1,https://p.scdn.co/mp3-preview/ceee8e6525e1e633c2d94f322cd51f2357edbdc5?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:52IJVywghoqjbdPbmQtDLY,0.66,0.482,7,-8.305,1,0.0378,0.241,0.0,0.0696,0.525,75.964,1udR5p41J8rYoVGAZFt2dI,spotify:artist:1udR5p41J8rYoVGAZFt2dI,[],16
9,Boris Vian,Disco,2ePYAMkoIu8lkTyN1ngG0c,34,Disco,7bUf9JVedA84u4nEuqhiDB,2017-06-15,single,https://i.scdn.co/image/ab67616d0000b2735b46469ddb64c35bfe844ae3,293825,False,1,1,https://p.scdn.co/mp3-preview/4a19729d43686796242bd4f023f1a1c049e85b30?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:2ePYAMkoIu8lkTyN1ngG0c,0.885,0.622,4,-8.478,0,0.0802,0.00638,0.93,0.188,0.826,115.036,539tqg3ZD8rczM6eTXYFy8,spotify:artist:539tqg3ZD8rczM6eTXYFy8,['ecuadorian indie'],19
