,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,album_cover_url,track_duration_ms,explicit,track_number,disc_number,track_preview_url,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
0,Deep Jandu,Pagol,7MpfARGQRFqZxHEWLBjDkx,65,Pagol,3P5a2FJ0k7RWBlWKWSl5T7,2019,single,https://i.scdn.co/image/ab67616d0000b273d34bfc0d561cf43a32dc1232,219335,False,1,1,https://p.scdn.co/mp3-preview/dad616af3fbfd8a40f96427f63c1c090b5ca0831?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:7MpfARGQRFqZxHEWLBjDkx,0.719,0.498,1,-4.563,0,0.347,0.282,0.0,0.0999,0.892,169.938,2RJawMqX9ESxws2KMtHyP3,spotify:artist:2RJawMqX9ESxws2KMtHyP3,"['desi hip hop', 'punjabi hip hop', 'punjabi pop']",59
1,Mr.Siro,Một Bước Yêu Vạn Dặm Đau,1u3aGopt09bxmUDs8c94XY,54,Một Bước Yêu Vạn Dặm Đau,3JCjsTuQGzPYKyTDoWgwP3,2019-03-14,single,https://i.scdn.co/image/ab67616d0000b273fec60dc00d6f833379047450,298913,False,1,1,https://p.scdn.co/mp3-preview/da8d1756e86aef736aa54e232bf85b7ff6853574?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:1u3aGopt09bxmUDs8c94XY,0.444,0.421,10,-7.656,0,0.0278,0.798,0.0,0.0956,0.33,137.608,35HU1GT1q797EwZsP8uduO,spotify:artist:35HU1GT1q797EwZsP8uduO,['v-pop'],48
2,The Faim,Summer Is a Curse,0QhZm4n9bYNMeFOuChKZ7b,50,State of Mind,20gsqlzht7uh9ITB2CynVY,2019-09-13,album,https://i.scdn.co/image/ab67616d0000b27353c8cfd4455dd731301d55ca,181506,False,3,1,https://p.scdn.co/mp3-preview/5822c324055436503c24d3c625f6bb60dd6346e7?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:0QhZm4n9bYNMeFOuChKZ7b,0.473,0.758,9,-5.164,1,0.0563,0.00073,0.0,0.22,0.393,167.973,6VsU92soWFLtVsSP65rkrN,spotify:artist:6VsU92soWFLtVsSP65rkrN,"['australian alternative rock', 'modern alternative rock']",40
3,Bermudu Divstūris,#Sarkanbaltsarkanais,3bY8hZbtWQpCOGHi1IZvz5,36,#Sarkanbaltsarkanais,4Z1NyCGQaXlJahP9qm01bG,2019-11-13,single,https://i.scdn.co/image/ab67616d0000b2738a71574178c75dfb86b70e6b,195818,False,1,1,https://p.scdn.co/mp3-preview/d6393bfa68f2dabb8af43372f88d89f67b9ccbcf?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:3bY8hZbtWQpCOGHi1IZvz5,0.738,0.785,11,-5.003,0,0.104,0.0608,0.0,0.403,0.626,110.118,7hkFOXZNtMKGG8QXTRSQcT,spotify:artist:7hkFOXZNtMKGG8QXTRSQcT,['latvian pop'],38
4,Dalbani,Sunday Morning - Acoustic Mix,5fbKnZdmQMDszeBGeR4LRd,32,Sunday Morning (Acoustic Mix),3wiZVSVlzWj8A6m8tfif0A,2019-09-27,single,https://i.scdn.co/image/ab67616d0000b2739f47f830f2aa9284ca4455cf,177000,False,1,1,https://p.scdn.co/mp3-preview/8738f31a785d94e4449603ad3de78a4a3189a24b?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:5fbKnZdmQMDszeBGeR4LRd,0.512,0.352,11,-12.847,1,0.118,0.606,0.0,0.634,0.561,175.784,67QnG4pbitKc2Ers3CfbFl,spotify:artist:67QnG4pbitKc2Ers3CfbFl,['coverchill'],42
5,Daniel Bortz,Take My Hand,1x6JcuNsTk2jv6CszQqyC9,30,Take My Hand,5u0MC9Oaw6oahrK8OYgKiM,2019-12-27,single,https://i.scdn.co/image/ab67616d0000b2737dd27c6246d5a064624d1269,383750,False,1,1,https://p.scdn.co/mp3-preview/e31ee96bbf28c4cb00bd42ba8f84a6ed10d54512?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:1x6JcuNsTk2jv6CszQqyC9,0.804,0.655,0,-14.785,0,0.0547,0.0623,0.928,0.117,0.299,120.02,23B2qxOv4x5uzlyhfEuNQi,spotify:artist:23B2qxOv4x5uzlyhfEuNQi,"['deep disco house', 'minimal tech house', 'munich electronic']",28
6,Arturo Coronel y el Buen Estilo,Cuando Te Acuerdes De Mi,4Ekjlyk4pH1GRf2hPvD6Hc,27,Cuando Te Acuerdes De Mi,6u5UFq3uXTSsSMBzIglmBy,2019-08-29,single,https://i.scdn.co/image/ab67616d0000b2733c5394c2736820c8c2640e27,238031,False,1,1,https://p.scdn.co/mp3-preview/fa30f3200bb642b19d85aad08964734c3c89bd25?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:4Ekjlyk4pH1GRf2hPvD6Hc,0.655,0.451,7,-11.332,1,0.0311,0.735,0.00156,0.15,0.601,96.463,4lFwjsLFRLWRtjtsNjl5al,spotify:artist:4lFwjsLFRLWRtjtsNjl5al,"['corrido', 'sierreno']",35
7,Arturo Coronel y el Buen Estilo,Cuando Te Acuerdes De Mi,4Ekjlyk4pH1GRf2hPvD6Hc,27,Cuando Te Acuerdes De Mi,6u5UFq3uXTSsSMBzIglmBy,2019-08-29,single,https://i.scdn.co/image/ab67616d0000b2733c5394c2736820c8c2640e27,238031,False,1,1,https://p.scdn.co/mp3-preview/fa30f3200bb642b19d85aad08964734c3c89bd25?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:4Ekjlyk4pH1GRf2hPvD6Hc,0.655,0.451,7,-11.332,1,0.0311,0.735,0.00156,0.15,0.601,96.463,4lFwjsLFRLWRtjtsNjl5al,spotify:artist:4lFwjsLFRLWRtjtsNjl5al,"['corrido', 'sierreno']",35
8,ELSO,Spider Silva,0yUHkf8wIlG8cmjEy9OLLd,26,Spider Silva,7hrA7i0OIjC9ecJjTTFpft,2019-10-21,single,https://i.scdn.co/image/ab67616d0000b273304d0d7beaa85eccc5ef4bfa,213870,True,1,1,https://p.scdn.co/mp3-preview/2085789bd8b648b4ad0ccf56577fc88b068c1053?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:0yUHkf8wIlG8cmjEy9OLLd,0.815,0.578,1,-10.809,1,0.439,0.529,0.0,0.132,0.609,123.946,4W1lopkH4sNXzwfiUvST3P,spotify:artist:4W1lopkH4sNXzwfiUvST3P,[],44
9,Samuel Medas,Cyah Wait,503CmBbwgsKyijIqpwbQAI,26,Ready,4GrpWHT1YCtd6DQseqDI3i,2019-07-20,album,https://i.scdn.co/image/ab67616d0000b27359dce7f75e3215ce551d2caa,272250,False,3,1,https://p.scdn.co/mp3-preview/8fe5134c2e1f2beaa2bc5b9c9eeb75d3e0703012?cid=2252af966d654a1b96082cc58f6326f4,spotify:track:503CmBbwgsKyijIqpwbQAI,0.624,0.856,1,-3.569,1,0.158,0.167,0.0,0.285,0.838,122.235,1PMUzitUNtN2mF0J4QLbLF,spotify:artist:1PMUzitUNtN2mF0J4QLbLF,['gospel reggae'],35
