,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
14,Alan Ramirez,Corazón de Cartón,1m0FplOEPeQIh5uoLTzZwQ,31,Estoy Perdiendo La Razón,5fQqmPG79aySUQ7QQKs1lj,2016-12-14,album,143281,False,10,1,0.553,0.567,4,-6.649,0,0.0369,0.74,0.0,0.0628,0.809,126.994,1yHjFDDYePdq3KcGBEJkRw,spotify:artist:1yHjFDDYePdq3KcGBEJkRw,['musica popular colombiana'],43
15,Assala Nasri,حزن الشوارع,6kYy64wdHueif7UY24sMRt,29,أعلّق الدنيا,5hC3ocqDCseRyFmASvqcUT,2016-10-10,album,212580,False,11,1,0.562,0.723,10,-4.759,0,0.137,0.368,0.0,0.0521,0.848,90.047,6MQnUjIjnIOfHDFzqBJOAl,spotify:artist:6MQnUjIjnIOfHDFzqBJOAl,"['arab pop', 'classic arab pop', 'khaliji', 'syrian pop']",55
16,All Sons & Daughters,Path of Sorrow,1WsejxLlatw94QtxOtzAzd,23,Poets & Saints,4Ep9pR8RIXphUEEkgeELBK,2016-09-02,album,267493,False,3,1,0.613,0.452,10,-7.395,1,0.0261,0.00723,0.00761,0.144,0.283,130.035,44LPOpECjnIlnwH91wo2ir,spotify:artist:44LPOpECjnIlnwH91wo2ir,"['ccm', 'christian alternative rock', 'deep ccm', 'worship']",54
17,Muzaffer Gürler,Senin Aşkın,24sXDwJQVDNmjKPnNTqO1u,22,Yalvarış,5aPd6cvyHlniIi0UXDJgnC,2016-01-20,album,325094,False,8,1,0.662,0.844,9,-8.369,0,0.0866,0.792,8.87e-05,0.093,0.754,90.897,4cGgSMi3uOByyskrQWmNN6,spotify:artist:4cGgSMi3uOByyskrQWmNN6,['ilahiler'],14
18,Luis Alberto Del Paraná,Mis noches sin ti,7nupmOWJKkvZUYfvjBHEN1,22,Los Elegidos de Parana. Vol 1,0elg7ksAuLpMlV4MULifmv,2016-01-25,album,202274,False,5,1,0.403,0.38,10,-5.495,1,0.03,0.912,0.000187,0.172,0.363,91.89,7n8Q2zigv0vK6OU044zDND,spotify:artist:7n8Q2zigv0vK6OU044zDND,"['arpa paraguaya', 'folklore paraguayo', 'polca paraguaya']",30
19,Gwen Stefani,Truth,4KaIfVfvbzvexXuUu2LDPs,21,This Is What The Truth Feels Like,5K4QKGKXZWNhjQiGOzkKLb,2016-04-01,album,214626,False,5,1,0.782,0.632,1,-6.115,1,0.0611,0.0789,7.55e-05,0.106,0.096,119.996,4yiQZ8tQPux8cPriYMWUFP,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,"['dance pop', 'pop']",71
20,Piano Jukebox,Take Over Control (Instrumental),54tksr7y3rzFAVBfz3l5TS,21,Chillectro,5L4lBav4aIGYcq83EVoGAM,2016-06-17,album,254000,False,3,1,0.295,0.196,3,-18.803,1,0.0356,0.96,0.854,0.112,0.0768,108.067,1GYZgDzaaUGyiH8KVO7TMi,spotify:artist:1GYZgDzaaUGyiH8KVO7TMi,['classify'],11
21,Diabulus in Musica,Crimson Gale,5AljSOJlyQECyBwFs9tUB8,21,Dirge for the Archons,0rQj6xSoMgSqwktRmnWkPK,2016-11-18,album,249373,False,5,1,0.474,0.968,9,-5.23,0,0.0679,1.62e-05,0.00504,0.355,0.446,90.02,2g98DnPyHWcZXg8cLg0sNF,spotify:artist:2g98DnPyHWcZXg8cLg0sNF,"['fallen angel', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'slayer', 'symphonic metal', 'symphonic power metal']",21
22,Swiperboy,Hello (Remix),3MEHpAw1EChQaoZTCkuX3a,21,Hello (Remix),4mXyyXRm3AmE5JSCWJshQk,2016-02-25,single,244610,True,1,1,0.551,0.445,8,-6.919,1,0.032,0.811,0.0,0.299,0.471,79.777,05DtP63F0P3oEbAjg8g2Ou,spotify:artist:05DtP63F0P3oEbAjg8g2Ou,['slow game'],12
23,Sou El Flotador,Maltrato,1979AoKncM5sGNScKJBEWI,21,Mr. Fly,4NjoFfyKfRTVe1jUoAN2We,2016-10-25,album,243436,True,5,1,0.722,0.569,7,-7.111,0,0.074,0.523,1.76e-05,0.213,0.416,110.027,4zhRp8eBXDLLmToDwAsLgK,spotify:artist:4zhRp8eBXDLLmToDwAsLgK,"['reggaeton flow', 'trap latino']",35
24,SWIMS,Lovers Like You,5IIDlxNSVuEpNdTOiPLopy,20,Lovers Like You,0DgM7zaNGGAMXyd0NqrhJ6,2016-10-13,single,219500,False,1,1,0.517,0.601,10,-7.688,0,0.0652,0.0175,0.0,0.118,0.286,122.879,1AnetmEDB2FyWGNTumFx5L,spotify:artist:1AnetmEDB2FyWGNTumFx5L,[],13
25,Teufelskicker,061 - Das Abstiegsgespenst! - Teil 22,1ZjhgR6LT8XPnF84tlOWtx,20,061/Das Abstiegsgespenst!,36JABCgbZB3BVMxAzwbJwN,2016-04-15,album,96546,False,22,1,0.567,0.851,1,-10.067,1,0.946,0.637,0.0,0.607,0.536,87.174,752p3IcSA76CVOvqoGcFWH,spotify:artist:752p3IcSA76CVOvqoGcFWH,['hoerspiel'],64
26,Eddy Woogy,Lodela,6HBmwI4PfA0W20ZVWqkTN4,19,Tout Eddy,5be4aIAYleaqwu2Cplw5eQ,2016-02-19,single,201373,True,2,1,0.686,0.341,0,-12.635,0,0.074,0.712,0.00364,0.31,0.0695,90.957,3sm4ryI7tITQ3YlgONOVN8,spotify:artist:3sm4ryI7tITQ3YlgONOVN8,['rap lyonnais'],24
27,Gontiti,待ちぼうけ,57cMA4vjfLfoOQ8J4cqr9H,19,「あまんちゅ!」 オリジナルサウンドトラック,0hbsEp88Yh7x9UlLO109Xy,2016-08-24,album,139800,False,11,1,0.851,0.0287,6,-13.86,0,0.0894,0.957,0.248,0.132,0.38,74.03,3MDnw7OjazzthpD3Jk5hKR,spotify:artist:3MDnw7OjazzthpD3Jk5hKR,['japanese guitar'],40
28,Sybyr,Blood On The Sink,0ykPLKgKoyuyzUW4cUneSK,19,HELLHORSE,1um4EGvzsEGOzwdrMfVAAC,2016-07-19,album,99735,True,6,1,0.442,0.619,0,-7.607,1,0.168,0.088,2.43e-05,0.626,0.203,121.443,4WVDlzQCHAIWzBP5iZwuOJ,spotify:artist:4WVDlzQCHAIWzBP5iZwuOJ,"['cloud rap', 'dark trap']",39
29,Macecilia A St Paul,Ke Ena Khoro,5EofamOqxHS8dL2FawHz9h,18,Celebrate!,70ElBJqDLQFCViKog74pwQ,2016-08-26,album,191293,False,2,1,0.462,0.378,0,-9.736,1,0.032,0.0324,0.0,0.162,0.0743,69.806,4AMMhkqh8zEUU3979zQeaB,spotify:artist:4AMMhkqh8zEUU3979zQeaB,['south african gospel'],33
30,Bon Jovi,Born Again Tomorrow - Live From The London Palladium,4unKLI7od1EkMrofONtwgM,18,This House Is Not For Sale (Live From The London Palladium),5BBt9PG2b2QuMpWkmx8ZAj,2016-12-16,album,247760,False,5,1,0.465,0.934,2,-5.561,0,0.0482,0.000641,8.69e-06,0.796,0.471,126.918,58lV9VcRSjABbAbfWS6skp,spotify:artist:58lV9VcRSjABbAbfWS6skp,"['glam metal', 'rock']",77
