,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
202,Bumpiz,Chicken & Beer,0pSlwOJKgVG5b5Wfh7xkyA,0,Chicken & Beer,3mIXhoex5zmv2KTPSTB7BH,2016-07-19,single,213000,False,1,1,0.705,0.811,4,-7.669,1,0.03,0.00812,0.831,0.117,0.745,120.005,2joAYOfBGWiKI3suJuKvdg,spotify:artist:2joAYOfBGWiKI3suJuKvdg,[],0
203,Scott Jackson,Live It Like You Love It,3eKpqmwZSUJl94b5h1Yd4T,0,Indie Bright Skies,2rLJjT2Q6lCuDnTMLdfDTM,2016-12-23,compilation,194972,False,9,1,0.442,0.709,7,-6.593,1,0.0337,0.00585,0.964,0.265,0.386,140.035,3Ek1hNsyZF77o8Gu7azDqg,spotify:artist:3Ek1hNsyZF77o8Gu7azDqg,[],9
204,Bond St. District,Hey Arnold,4HoWiRzEADYxjm6p1hWG4C,0,A Church on Vulcan,1RUsygU69CW1cHgToMMJ9k,2016-12-16,album,223422,True,10,1,0.585,0.775,9,-6.097,1,0.294,0.275,3.59e-05,0.818,0.147,94.15,2bn35Rd2rtFtVqJwtutDdO,spotify:artist:2bn35Rd2rtFtVqJwtutDdO,['baltimore indie'],0
205,Yaneena,Again - Danceheat Remix Edit,7ywmDDtWkrdzRUpSkQdXeO,0,Apollo Music: Spin Beats,3v4137ICNx8T9QjmbbZb7D,2016-04-28,compilation,201000,False,5,1,0.631,0.935,6,-3.257,0,0.061,0.0113,3.52e-05,0.0785,0.379,127.913,5nzafvzn69N7Qa20e8rzD5,spotify:artist:5nzafvzn69N7Qa20e8rzD5,[],0
206,CavemanFune',ZAP-A-DOS,1yFkfWeDban0zGRfp0yVEW,0,MissingNo.,0i4CRdEVOLK8Ai34sPJ1kA,2016-09-06,album,184215,True,9,1,0.637,0.699,10,-4.846,0,0.319,0.0618,0.0,0.0484,0.424,85.91,1KONOi66AFUndkGKezO4zx,spotify:artist:1KONOi66AFUndkGKezO4zx,[],0
207,TheHumbleChampion,The Capricorn,2sLqraC3Kv9eLU6ObbwQc7,0,Walking Amongst Mortals: The EP,5qviaNv5rFNjC0w9YOiPPG,2016-04-10,single,130481,True,5,1,0.8,0.711,6,-7.164,0,0.297,0.228,0.0,0.28,0.739,91.99,39JXu6Yt7bWKvSKefBIrGk,spotify:artist:39JXu6Yt7bWKvSKefBIrGk,[],0
208,Gym Music Workout Personal Trainer,Hey Ya! (160 BPM),6S1qFnXv6aXorEn600Fxa8,0,Exercise Training Class,1G23IlxULgItg7lpBJbZOb,2016-01-14,album,238413,False,27,1,0.726,0.597,7,-9.373,1,0.131,0.243,5.2e-06,0.29,0.801,79.486,7zYudnRzIAYX39wRPBxKDX,spotify:artist:7zYudnRzIAYX39wRPBxKDX,[],0
209,J. Verner,House of Angels,5QaSauNIVPHCjixoO6cmN1,0,Aura Virgin Sessions,2LMt89wTWUmGHTQa2PSpe3,2016-08-18,compilation,303750,False,4,1,0.66,0.686,10,-8.106,0,0.0416,0.00648,0.883,0.185,0.522,128.007,7B084xHzikr7NMUB3TRcZi,spotify:artist:7B084xHzikr7NMUB3TRcZi,['circuit'],0
210,Mirakulus,Slide on You,3SfHymppTi0KySyhhvgxvG,0,The Catacombs,0sSZnwATNPFeD8GWPlc8Ot,2016-06-20,album,253388,True,14,1,0.667,0.395,9,-13.226,1,0.331,0.391,0.00332,0.136,0.434,170.016,3E8kCXY1Xrg4V55fstQ7el,spotify:artist:3E8kCXY1Xrg4V55fstQ7el,[],0
211,Tymon Dogg,Walking Down the Road,0iVDa6TWUOSMwlWcwixWfg,0,Made of Light,4nIloGeENTTcthethHFcZH,2016-12-29,album,150213,False,11,1,0.314,0.154,2,-16.418,1,0.0324,0.808,0.00114,0.0758,0.144,105.146,72GBMSjSY2P2cpot3JNNLd,spotify:artist:72GBMSjSY2P2cpot3JNNLd,[],1
212,Danish Khichi,Muddatan Toon Pardes,1XJ4y9dPpNbz5r7ldvEkST,0,"Hole Hole Door Tur Gayi, Vol. 2",2y9Apc3Mz4BiRNdck18KbN,2016-05-05,album,386893,False,5,1,0.714,0.86,8,-7.093,0,0.052,0.554,0.000395,0.604,0.962,139.959,6myiDtNkwaaaizZmfNRpVZ,spotify:artist:6myiDtNkwaaaizZmfNRpVZ,[],1
213,The Riff,Jezebel,1uZtmUKnNRY3qUCn6BZyHq,0,Jezebel,4FTBczGPee1hJSrTpus09n,2016-05-05,single,228402,False,1,1,0.404,0.932,8,-3.647,1,0.0623,0.000128,0.00146,0.0968,0.544,151.079,658OfqbTzS2Uti2EjeE4JQ,spotify:artist:658OfqbTzS2Uti2EjeE4JQ,['swansea indie'],1
214,Bird Sounds,Strong Bird Sounds,3NydjAVtzmHAv3mYKHPR1i,0,Nature Bird Sounds,2MoZQGPvzmn79mQKORm9sz,2016-06-11,album,208483,False,6,1,0.495,0.0379,1,-38.341,1,0.834,0.000244,0.776,0.164,0.465,131.073,4LWTtG9wPNprYmfLnKJwv4,spotify:artist:4LWTtG9wPNprYmfLnKJwv4,"['birdsong', 'sound']",39
215,Murat Malay,Basatın Tepegözü Öldürmesi,7rbFEUvbKkquz4oTtmcXOQ,0,Dede Korkut,1AMkrOxCwksYSTVd7VvNwU,2016-02-10,single,196000,False,4,1,0.56,0.7,9,-10.736,1,0.028,0.219,0.912,0.139,0.342,140.005,3o3fDEhCO0NiuqF3LsjT4m,spotify:artist:3o3fDEhCO0NiuqF3LsjT4m,[],1
216,Jazz Relax Academy,Mellow Jazz,51nwz4PSoXqr2gkTKZykjN,0,"Jazz Liquid – Ambient Jazz, Relax Time with Jazz Music",40FO0MZJF9SEI0CZxoqvPx,2016-07-08,album,214137,False,7,1,0.721,0.0626,2,-21.858,0,0.0529,0.986,0.938,0.109,0.187,116.01,5jflr4ReIXUOxshZApTojt,spotify:artist:5jflr4ReIXUOxshZApTojt,[],4
217,Flute Music Ensemble,Solar Plexus Charka,6IMKpUMkcHXhL7DmFim5x5,0,"Relaxing Flute Music – Chakra Balance, Mindfulness Meditation, Defeat Your Stress, Spirit Free, Relief for Insomnia",6kZvctJ6AagdIml6BNrnsn,2016-01-25,album,219119,False,18,1,0.181,0.765,9,-22.745,1,0.168,0.974,0.977,0.928,0.0182,120.561,0N97aWi43uJianeszbWHY7,spotify:artist:0N97aWi43uJianeszbWHY7,[],29
218,Joan Manen,"Fantasia-Sonata, Op. A-22",7oZQFAN1CS1DMXQGyZqVLS,0,In the Beginning,6kUy0bSVKYR9sg7LImvLh7,2016-01-08,album,1117120,False,1,1,0.506,0.0353,2,-22.891,1,0.0657,0.973,0.842,0.0753,0.0863,124.675,1RIocTLSxWaXOS3rV1Z6Gl,spotify:artist:1RIocTLSxWaXOS3rV1Z6Gl,[],2
219,Adrian Alexander,Turnaround [ABGT206],4ysI3aAPtNF4nIW7LDRug4,0,Group Therapy 206,1kXE3iyrECWoysO4PfFjTH,2016-10-01,album,246131,False,4,1,0.602,0.606,7,-10.13,0,0.0546,1.96e-05,0.153,0.178,0.18,128.059,5msCUDk1PeADCytZ4lw5D6,spotify:artist:5msCUDk1PeADCytZ4lw5D6,['progressive trance'],17
220,Danny DeAlmeida,Dusk & Dawn,4oanL0uEgtwW4IpQ0vMqd5,0,Easy Listening,4UFqrW8OkjRIqWZwupLDid,2016-06-08,compilation,261616,False,16,1,0.294,0.0809,7,-16.746,1,0.0338,0.728,0.88,0.111,0.0369,73.873,1SRLG8nQeOtcFHN4OKQQpY,spotify:artist:1SRLG8nQeOtcFHN4OKQQpY,[],0
221,By Jun,어디에서라도,5wDKM76YBInOK3xarel733,0,정리정돈,4QKKOZRpTz2GDkq0xbd4vO,2016-11-08,album,181028,False,13,1,0.17,0.28,5,-16.602,1,0.0382,0.975,0.957,0.107,0.0613,167.61,1AIWeRCKh8U9JfnJr1lmBq,spotify:artist:1AIWeRCKh8U9JfnJr1lmBq,[],1
222,Joseph Haydn,"String Quartet No. 35 in D Minor, Op. 42, Hob. III:43: I. Andante ed innocentemente",2mhzLJw8TBjXz8D9TV5uri,0,"Bedtime – Music for Baby, Soothing Songs for Sleep, Quiet Kid, Lullabies",2qh2ZZ3837VQ4XGvDmplcI,2016-10-13,album,371966,False,5,1,0.318,0.0812,5,-18.344,1,0.0412,0.945,0.00266,0.425,0.241,137.394,656RXuyw7CE0dtjdPgjJV6,spotify:artist:656RXuyw7CE0dtjdPgjJV6,"['classical', 'classical era']",53
223,Entropik Music,Parcel of Rogues in a Nation,3OKXrTFxT0iH3IXMch3PKG,0,"Irish Reflections, Vol. 5",64aQ2IOcWU0NVXv8RIxZjr,2016-10-11,compilation,213330,False,36,1,0.195,0.231,4,-11.126,0,0.0366,0.714,0.877,0.152,0.124,133.653,5DVBzSUt1qVYwUuQ3sMdLB,spotify:artist:5DVBzSUt1qVYwUuQ3sMdLB,[],0
224,George Frideric Handel,"6 Concerti grossi, Op. 3, No. 3 in G Major, HWV 314: III. Allegro",5XICferHuCBVyPnmdYspMe,0,"Classical Selection - Handel: Concerti grossi Nos. 1 - 6, Op. 3",6ufCe6Ll6BwerkLpbRZoqX,2016-12-13,album,243560,False,8,1,0.417,0.278,7,-13.528,1,0.0378,0.946,0.924,0.13,0.506,127.656,1QL7yTHrdahRMpvNtn6rI2,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",62
225,Alfonso de Vilallonga,Moonlight Bath,6xiKepXevDDBTVQkjkqJkd,0,The Ballads,207ZSz55lC0hRf7jCkS8wm,2016-04-21,album,357973,False,1,1,0.468,0.174,0,-12.37,1,0.0426,0.947,0.000376,0.107,0.113,113.768,4sPHwhvmsQQMipDY83INRX,spotify:artist:4sPHwhvmsQQMipDY83INRX,['latin soundtrack'],31
226,All Unspoken Words,Serenity,6fGrBTFduNpBn9NGsm5I0X,0,Dysphorie,32i07cgsxZ0yg1sXmitdKo,2016-06-11,album,295587,False,3,1,0.0908,0.477,10,-11.4,1,0.0431,0.136,0.696,0.675,0.0768,86.476,6EF7V10wEdFqqnQ30uF7Fl,spotify:artist:6EF7V10wEdFqqnQ30uF7Fl,[],0
227,Mucero,Joker Run,7JUqODkBMZ0Q1LmaU6TOc2,0,One Year Label Anniversary,38ue8hTALHibEFaRBHAbHS,2016-12-19,compilation,462931,False,1,1,0.813,0.333,6,-12.297,1,0.106,0.0576,0.88,0.165,0.307,121.011,5Ls3E3SsS8qNeDcDfvgSQq,spotify:artist:5Ls3E3SsS8qNeDcDfvgSQq,[],0
228,Taylor Levine,How It Goes,4ZHBJctzErSDUWtMPqiXeU,0,Outlanders,6lAHZYHbo0QKqJIouWi0kY,2016-01-22,album,262143,False,8,1,0.176,0.421,2,-9.972,1,0.0346,0.718,0.739,0.128,0.0333,72.753,5bQE9n00bfcb6rPt1P8eoc,spotify:artist:5bQE9n00bfcb6rPt1P8eoc,[],0
229,Bsharry,Pinball,6VfiAjtTkRIspCxtQTSYrI,0,Big Room Guide 2 (Selected by James Black Pitch),5rmMHDsV1e9NlEjo2ORwSG,2016,compilation,384345,False,9,1,0.62,0.875,2,-4.34,1,0.0366,0.000423,0.69,0.0506,0.317,127.998,2huEcIEconmbMaKloHqsQY,spotify:artist:2huEcIEconmbMaKloHqsQY,[],21
230,Afterhour Chillout,Down Low,5DSpowKma009L40mlEDHZ2,0,"Deep Chill Out – Summer Bounce, Chill Out Music, Pure Chill, Pure Relaxation, Easy Listening Music",4F1RYmsBcrGH0ODY74EhSW,2016-02-01,album,242143,False,2,1,0.333,0.228,2,-21.601,0,0.0356,0.586,0.913,0.114,0.109,100.024,09W5VXFwdAUCGPVaQLOKU2,spotify:artist:09W5VXFwdAUCGPVaQLOKU2,[],10
231,Nuero,Spring Forward,4Gz4Eg2GvPRYkDKSdiFAF5,0,2025,2NoqLTAlIVcrXThF6f9ZVf,2016-11-28,album,317106,False,8,1,0.59,0.693,3,-12.051,1,0.0322,0.00539,0.906,0.254,0.642,126.982,14rDvr6ZF1FJ857X2sR5Nc,spotify:artist:14rDvr6ZF1FJ857X2sR5Nc,[],0
232,이규진,Green Light,0Rn5ktxeOffw1ss0UTPISw,0,Green Light,5JOILOXsppNcZK9A2Z1L5m,2016-08-03,single,224835,False,1,1,0.577,0.909,1,-3.89,0,0.0348,0.252,1.82e-06,0.354,0.776,148.019,1chQmigRX6n7wNXVKnecrc,spotify:artist:1chQmigRX6n7wNXVKnecrc,[],0
233,Tuomas.L,Sinister,4fGJuidrFfjsL9EiD2Mmpu,0,Sinister,4hTk91kpJPqlKLWbSuTEkS,2016-12-12,single,382285,False,1,1,0.586,1.0,4,-5.095,1,0.421,0.00386,0.701,0.156,0.0371,139.976,0KsMBkh3XcgfUYJLDjIwgN,spotify:artist:0KsMBkh3XcgfUYJLDjIwgN,[],4
234,Baluca,Smoke Melody - Original Mix,6BCSZvyRISWnkPmsm8mg3w,0,ADE 2016,7cnEMwqgkmrqMYdSxA1Xmq,2016-10-20,compilation,410880,False,5,1,0.813,0.976,1,-7.496,1,0.0803,0.0339,0.808,0.073,0.735,125.018,4LCcFqPz3P5yhVbsm5aO7O,spotify:artist:4LCcFqPz3P5yhVbsm5aO7O,[],1
235,Yes Selma,Everyone's Looking at Me,2NRuU8WC6thKtTTYG8rtL4,0,Songs of Happiness,1gzpXAKNn8uzYmDMsTYeMU,2016-06-10,album,198133,False,15,1,0.413,0.596,10,-13.415,1,0.0478,0.658,0.0168,0.122,0.146,150.448,6A171aMyT2YbaY7UlfyMvV,spotify:artist:6A171aMyT2YbaY7UlfyMvV,[],0
236,Tomer G Top 20,Top 20 Podcas - Week 8 - 10-6,47X4BaZqdOtpvVAt3hWoNr,0,Top20 - Week 8 (26/02/16),1RRongD7x4wR5wdII14WET,2016-03-02,single,72030,False,3,1,0.761,0.451,7,-12.439,1,0.366,0.111,0.0,0.367,0.282,126.877,2Zuzq36nr5XEas1Dfpcd03,spotify:artist:2Zuzq36nr5XEas1Dfpcd03,[],0
237,Musica Relajante,Calcutta,1Nx9iq1rT2kq7QXhIFXpPo,0,Meditacion Oriental,5rDAl00pK6KG68UjrhJAn2,2016-12-23,album,198420,False,12,1,0.223,0.129,0,-20.851,1,0.0342,0.037,0.904,0.113,0.0623,71.057,5tLcSmEpxduAsr5nLUeJ7D,spotify:artist:5tLcSmEpxduAsr5nLUeJ7D,"['musica de fondo', 'sleep']",46
238,Jxan Foss,Diamonds & Gold,40LA3ftbt6zKkwVzqicrNz,0,$o$$ FO$$ the Prophet,2S64cyA6xMB4AT1moy5NS9,2016-09-12,single,187663,True,2,1,0.766,0.514,1,-8.353,0,0.115,0.2,0.0,0.359,0.291,126.071,4FHMM98Yth5inm7yTcBWIs,spotify:artist:4FHMM98Yth5inm7yTcBWIs,[],0
239,Ali Safdar,Urooj Aj Imam Zaman Ki,2ty6MaL8h2byqrraYrYwGA,0,Azeem Martaba Aali Nasab,66ja9DStPOX4n4hwIM0QCM,2016-06-01,album,306494,False,11,1,0.39,0.401,2,-1.097,1,0.0343,0.912,0.0,0.153,0.385,93.531,1E4MFADWYDrUjRE7fdvw9P,spotify:artist:1E4MFADWYDrUjRE7fdvw9P,['nohay'],5
240,Tommy Tha Great,Derealization,0VnwvZEUQfhBswx1ZEmDXd,0,Lazer Man: The 5th Millennium,6zIL6F7oqmksbuOp3QjYYk,2016-07-15,album,274468,True,7,1,0.699,0.526,8,-9.056,0,0.0519,0.285,1.08e-05,0.107,0.153,119.954,1O2hva62HKdhca3OM3Ns3x,spotify:artist:1O2hva62HKdhca3OM3Ns3x,[],0
241,Denny Scott,God You're Great,16lv9hda3OZMQU5fT8cCKl,0,Musical Diary: Lessons from God's April Showers & May Flowers,7vLsOZIbcTpBvQEgSuVRXP,2016-11-17,album,227317,False,12,1,0.503,0.413,10,-17.685,1,0.0367,0.966,0.904,0.15,0.504,138.251,1WKY8ev2hJm1qNb7jPn4TO,spotify:artist:1WKY8ev2hJm1qNb7jPn4TO,[],0
242,LMN Tricks,Lesedi,2BFxfsLrTdEeZ7g4xGuX3e,0,Mamello,4fhKgesVVkJzRCSWGF9m9A,2016-10-10,album,231968,False,9,1,0.547,0.733,9,-7.493,0,0.155,0.124,0.0,0.393,0.656,125.209,53EfwkIsTROfbaerFQb6Kc,spotify:artist:53EfwkIsTROfbaerFQb6Kc,[],0
243,Hooligoons,Own Shit,3PmIeHfOwBJH2hrRxSy8ex,0,Wavepool,1mHfS0RmZyvqDDtusWxJbQ,2016-06-04,album,360045,True,15,1,0.877,0.732,3,-6.859,0,0.0635,0.046,0.0,0.109,0.559,144.041,0z7WfI5lWcV5xnxfvDBHjQ,spotify:artist:0z7WfI5lWcV5xnxfvDBHjQ,[],0
244,Oscar Doucet & Alius Soileau,O Bebe!,225lAyrQQ1JNWXkiS5ePqu,0,The Best Of Cajun & Zydeco Vol. 4,1EIKQtPAhWudnrZl5YUwdV,2016-04-22,compilation,186733,False,13,1,0.76,0.536,2,-6.213,1,0.0377,0.963,0.0072,0.0749,0.705,114.287,1rt3EeqDoChj8sS9ijYYrp,spotify:artist:1rt3EeqDoChj8sS9ijYYrp,['cajun'],0
245,Hemicoda,Anorak - Original Mix,0Qo1UDRlNH7mYDYgTN4UdX,0,Call 069 Techno Volume 5,4vs3YNcGXoaeN0UixJuNMs,2016-01-01,compilation,459656,False,5,1,0.799,0.768,1,-9.717,1,0.0756,0.124,0.852,0.616,0.0721,129.005,0VkEUyLOWMILbEZMFazLJh,spotify:artist:0VkEUyLOWMILbEZMFazLJh,[],0
246,Mozzy,Techno White,0lgDSZOADoJiFmF4nddL25,0,Sensible Knowledge,4CgK0O1rSMuFzYDUZtu4em,2016-06-03,single,423554,False,3,1,0.694,0.874,11,-10.191,0,0.0386,0.00713,0.852,0.127,0.157,129.997,1DM42neJgK1N8ZfgtsPrqe,spotify:artist:1DM42neJgK1N8ZfgtsPrqe,[],35
247,Beats Sounds,Inda Mnml - Original Mix,1Oy9wr7w1ubRuqg3BJYF51,0,"Minimal Techno Picks, Vol. 46",6tjEP5uWpG1IsF2rebLFkZ,2016-02-05,compilation,390048,False,5,1,0.802,0.916,11,-6.477,0,0.0524,0.000383,0.902,0.0675,0.0444,128.012,46rUI7zg49mSuQ2phMaNmX,spotify:artist:46rUI7zg49mSuQ2phMaNmX,['hard minimal techno'],7
248,Diipps,Medicine,5KiLGjGpUataz7KBaqnGw7,0,F.U.S.M.,6ZuOM2yqHOsyZGqQMxS84U,2016-08-06,single,279353,False,2,1,0.626,0.529,4,-8.979,0,0.0304,0.0252,8.41e-05,0.0902,0.155,110.004,3lfEXqCHrzMKn2NGLGoUfB,spotify:artist:3lfEXqCHrzMKn2NGLGoUfB,[],0
249,Lesser G0dz,Infantile,4o0O4OudufpJqzlry0QrOZ,0,Lazy Ghosts,2YiGTIiPHxMHBGdD1qFmGO,2016-11-23,album,257361,False,3,1,0.556,0.688,5,-9.204,1,0.0306,0.00462,0.767,0.185,0.259,120.008,6Yro7BHnjdz2mZiJmFGwDq,spotify:artist:6Yro7BHnjdz2mZiJmFGwDq,[],0
250,Patcheye,Start to Finish,3Ssh1ymprznzcT7WIu0fDI,0,Start to Finish,5LwIICAtUHYUAOXaG2fczv,2016-02-11,single,272404,True,1,1,0.695,0.874,0,-3.063,1,0.149,0.148,0.0,0.0853,0.387,136.013,0l0axINSIkpW9Jxn2iTz1M,spotify:artist:0l0axINSIkpW9Jxn2iTz1M,[],0
251,J-Lotto,Juice,5ui9aiCuzQVAd9uPllrsvi,0,Juice,0mQqIxnQaP4cWdbIlVe59H,2016-05-26,single,243551,True,1,1,0.582,0.532,3,-7.703,0,0.146,0.181,0.0,0.362,0.439,71.652,4Zo1T7j5cRKhw6qG8zJka1,spotify:artist:4Zo1T7j5cRKhw6qG8zJka1,[],1
252,Sick Individuals,Against All Odds,1UQabErpeoTkNjY3n7D0XC,0,Festival Favorites (The ADE 2016 Edition) - Armada Music,7ntGO7UgqPeV2vKENxAkEw,2016-09-30,compilation,190171,False,17,1,0.49,0.85,3,-3.774,0,0.0482,0.0221,0.0,0.173,0.252,127.997,0XqFDQJjqW5PfhfBCb53LR,spotify:artist:0XqFDQJjqW5PfhfBCb53LR,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",48
253,The Mighty N,Little Misses and a Gent,73eOvJjiXex3qWrJcyoHuy,0,Retribution,0GISamKjOc6pvXAO9JwCl6,2016-12-09,album,319665,False,9,1,0.576,0.422,2,-8.836,1,0.0347,0.243,0.0,0.0968,0.503,69.193,1a34B17PhDyMgAxIgXEllO,spotify:artist:1a34B17PhDyMgAxIgXEllO,['greek psychedelic rock'],0
254,Alex Bevan,Blues Come Siftin' Down,0Tyzjc4q8s5ayQCKZ51y5O,0,Boomer,08onCzneQEpH9iZda9PBtW,2016-01-12,album,260153,False,6,1,0.44,0.362,4,-10.963,0,0.033,0.0223,0.0786,0.124,0.193,106.213,3tUMAwxFwqzmHx7Rc9EKiR,spotify:artist:3tUMAwxFwqzmHx7Rc9EKiR,[],6
255,Atozzio,Rock Your Body,08okN7vul4GDx7tTNvJM1r,0,The Best Collection,6r1XJk8D1gakgxsnVkmIwv,2016-12-16,album,260640,True,20,1,0.649,0.686,6,-4.973,1,0.0367,0.364,0.0,0.227,0.664,81.994,2Tlg8dGMa1TM49RH7dNfnR,spotify:artist:2Tlg8dGMa1TM49RH7dNfnR,[],18
256,Lovebird,What If Maybe,78Me8niUgBbZEvTKF05rPl,0,Circles in the Sand,5ta3xDwtaRwfdUO5fW8FlG,2016-09-15,album,273000,False,5,1,0.328,0.286,5,-9.477,1,0.0302,0.758,3.91e-06,0.158,0.153,146.206,7wnThJ3bhvWaKiE7NAD7TD,spotify:artist:7wnThJ3bhvWaKiE7NAD7TD,[],0
257,Fameous Kash,Never Had,6ydiLKN4ZVe7d9nHYw20O2,0,Never Had,418xGhu8i8DzyOCv7fgiVm,2016-03-01,single,190564,True,1,1,0.609,0.937,5,-3.911,1,0.0946,0.158,0.0,0.227,0.625,114.22,6BJ4Rgk2o0UOQGbiKNi792,spotify:artist:6BJ4Rgk2o0UOQGbiKNi792,[],0
258,Ross Lewis,Till You Got a Hold of Me,0tL6ioBR2hGD66uVVdhVDx,0,Love in Motion,6ro4QThTaETBSQD1T9rSQG,2016-01-31,album,174081,False,8,1,0.843,0.327,4,-14.431,1,0.0348,0.368,0.0,0.0804,0.41,100.267,5v6IAVUjyuJ9cbx1I9IPGI,spotify:artist:5v6IAVUjyuJ9cbx1I9IPGI,[],0
259,Various Artists,아기염소,5jZPtMXwDi7bV4FAVk1cSE,0,똑똑한 엄마들이 뽑은 누리과정 유아동요,0kdZ19cw5HIB1LikFvvxNP,2016-07-29,compilation,109232,False,67,1,0.859,0.626,4,-2.471,1,0.0386,0.531,0.0,0.192,0.962,124.992,0LyfQWJT6nXafLPZqxe9Of,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,[],0
260,Jazz Relax Academy,Mellow Jazz,51nwz4PSoXqr2gkTKZykjN,0,"Jazz Liquid – Ambient Jazz, Relax Time with Jazz Music",40FO0MZJF9SEI0CZxoqvPx,2016-07-08,album,214137,False,7,1,0.721,0.0626,2,-21.858,0,0.0529,0.986,0.938,0.109,0.187,116.01,5jflr4ReIXUOxshZApTojt,spotify:artist:5jflr4ReIXUOxshZApTojt,[],4
261,Digiffects Sound Effects Library,Large and Lively Café with Hum of Voices,10eSY6TiYQkqISpH6ASdV3,0,Urban Spaces & Places Ambiences,0aRVgDdGOwPvaEkMNa8RD1,2016-02-27,album,87748,False,76,1,0.167,0.699,0,-25.556,1,0.0564,0.913,0.932,0.128,0.0375,62.017,6whPaMyAuGAKK63gAFDiFy,spotify:artist:6whPaMyAuGAKK63gAFDiFy,['sound effects'],39
262,Joan Manen,"Fantasia-Sonata, Op. A-22",7oZQFAN1CS1DMXQGyZqVLS,0,In the Beginning,6kUy0bSVKYR9sg7LImvLh7,2016-01-08,album,1117120,False,1,1,0.506,0.0353,2,-22.891,1,0.0657,0.973,0.842,0.0753,0.0863,124.675,1RIocTLSxWaXOS3rV1Z6Gl,spotify:artist:1RIocTLSxWaXOS3rV1Z6Gl,[],2
263,Lounge relax,Feel It,2bp7zKBJVCkWsQpV7XeaC0,0,"Amazing Chillout Music – Amazing Beach Party, Tropical Paradise, Pool Chillout, Chill Tone, Ibiza Sunrise",00kKMJKQipGTS7TUyJphLT,2016-12-03,album,242083,False,12,1,0.73,0.498,8,-11.351,0,0.0329,0.124,0.826,0.119,0.695,120.034,5KyQOvARU3CRD93Rlpicfx,spotify:artist:5KyQOvARU3CRD93Rlpicfx,[],24
264,Adrian Alexander,Turnaround [ABGT206],4ysI3aAPtNF4nIW7LDRug4,0,Group Therapy 206,1kXE3iyrECWoysO4PfFjTH,2016-10-01,album,246131,False,4,1,0.602,0.606,7,-10.13,0,0.0546,1.96e-05,0.153,0.178,0.18,128.059,5msCUDk1PeADCytZ4lw5D6,spotify:artist:5msCUDk1PeADCytZ4lw5D6,['progressive trance'],17
265,Danny DeAlmeida,Dusk & Dawn,4oanL0uEgtwW4IpQ0vMqd5,0,Easy Listening,4UFqrW8OkjRIqWZwupLDid,2016-06-08,compilation,261616,False,16,1,0.294,0.0809,7,-16.746,1,0.0338,0.728,0.88,0.111,0.0369,73.873,1SRLG8nQeOtcFHN4OKQQpY,spotify:artist:1SRLG8nQeOtcFHN4OKQQpY,[],0
266,Chillout Music Ensemble,Big Entrance,5yf1r6rHZtOu4ESGuO9Am3,0,"Holiday Moments - Sunny Weather, Cool Fun Party, Colorful Fireworks, Disco Music, Dance Competitions, Move Body",14bHdwXOFkZwPq88c5zNpD,2016-12-01,album,244825,False,2,1,0.559,0.291,4,-18.915,1,0.0338,0.745,0.871,0.0876,0.149,100.01,5Z4fD85FibKIGRXpEdgx2x,spotify:artist:5Z4fD85FibKIGRXpEdgx2x,[],13
267,telemiguel,Dreams About Swimming,7JOVtxbTCI29PIEOVuuQz4,0,(not) Trying,3qSx9RUbYXXW4MXdwVw52T,2016-07-06,single,248825,False,1,1,0.219,0.0535,2,-17.935,1,0.0339,0.827,0.936,0.0974,0.0379,133.044,2wcm5hjOMfuLfR647hKhNO,spotify:artist:2wcm5hjOMfuLfR647hKhNO,[],0
268,By Jun,어디에서라도,5wDKM76YBInOK3xarel733,0,정리정돈,4QKKOZRpTz2GDkq0xbd4vO,2016-11-08,album,181028,False,13,1,0.17,0.28,5,-16.602,1,0.0382,0.975,0.957,0.107,0.0613,167.61,1AIWeRCKh8U9JfnJr1lmBq,spotify:artist:1AIWeRCKh8U9JfnJr1lmBq,[],1
269,Joseph Haydn,"String Quartet No. 35 in D Minor, Op. 42, Hob. III:43: I. Andante ed innocentemente",2mhzLJw8TBjXz8D9TV5uri,0,"Bedtime – Music for Baby, Soothing Songs for Sleep, Quiet Kid, Lullabies",2qh2ZZ3837VQ4XGvDmplcI,2016-10-13,album,371966,False,5,1,0.318,0.0812,5,-18.344,1,0.0412,0.945,0.00266,0.425,0.241,137.394,656RXuyw7CE0dtjdPgjJV6,spotify:artist:656RXuyw7CE0dtjdPgjJV6,"['classical', 'classical era']",53
