artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
Musica para Dormir Playlist,Alegre Musica para Dormir,7KNgmfF7eoikmTuPewuMgL,0,Alegre Musica para Dormir,6Io2YIVGNyCRSItiqIY2PH,2021-03-05,album,121765,False,1,1,0.643,0.302,0,-15.357,1,0.0378,0.948,0.472,0.109,0.244,141.944,2NHvnKAeRSddP1rJzEwsY7,spotify:artist:2NHvnKAeRSddP1rJzEwsY7,[],0
Horos,U-Bahn Controller,6PH2ACXdG4d67Pa4U5saNX,0,Refusal & Denial,2jvmCe7KAZOMHuMVQ0Sdjg,2021-01-27,album,363000,False,7,1,0.252,0.978,1,-7.614,0,0.208,0.000102,0.885,0.847,0.285,177.423,7IllVgYwWa1MBB8uuKjlNu,spotify:artist:7IllVgYwWa1MBB8uuKjlNu,[],0
Alain Pire Experience,If Six was Four,4r4pmDpc22OBIlE2oBHHuh,0,Purple Skies,7zqPGj2u5VOpI5HmzyPBVx,2021-08-27,album,481153,False,4,1,0.26,0.43,9,-12.419,0,0.0338,0.0167,0.197,0.147,0.238,173.931,2BIKISg9mXvoKhWhDOXITc,spotify:artist:2BIKISg9mXvoKhWhDOXITc,[],1
勉強のための音楽,いつもの瞬間(勉強中),4f1z6NCdK3l9hfPkoQVejY,0,勉強中-優れた,3Id9HtCPcQ3r7qgN1S6k6b,2021-01-14,album,129009,False,9,1,0.643,0.143,5,-18.486,0,0.048,0.967,0.908,0.111,0.312,133.99,0hNHymEA4OusHWrPPDau22,spotify:artist:0hNHymEA4OusHWrPPDau22,[],0
Paella Grande,Red Regen,4rUmb3zIf7LdVCpiJFR6ix,0,Zen,7eAPRjJ31CMeezPxbGY9dH,2021-10-29,album,219130,False,9,1,0.557,0.825,7,-7.883,1,0.121,0.44,0.332,0.28,0.464,91.973,3nhL9GpPNbPXS2MfHWJY1F,spotify:artist:3nhL9GpPNbPXS2MfHWJY1F,[],0
Jessie Chou,Red Lips,0eEWbA43C0ELYCZY3JwdMz,0,Red Lips,5KowsJmD1yWqAEekWOqhfw,2021-04-01,single,118143,False,1,1,0.893,0.848,8,-10.342,1,0.0541,0.00371,0.898,0.0783,0.481,116.031,4Ulf4R2a3oNLePc3BYnQqp,spotify:artist:4Ulf4R2a3oNLePc3BYnQqp,[],0
Forest Sounds,Rainy,06HpUCwgdGhubfbc3BAEEO,0,#ForestSound,4mmYQQZWqYSrUdcQT2y2zO,2021-06-10,album,101403,False,51,1,0.18,0.978,4,-26.048,0,0.0524,0.935,0.922,0.942,1e-05,88.172,3DCUYm4ife62EAKya2fULx,spotify:artist:3DCUYm4ife62EAKya2fULx,"['environmental', 'sleep']",47
Nature Sounds,Cricket Sounds At Night,3IeVYdj0fIftVi7StFhiU9,0,"!!!""Jungle Rain Sounds Of Nature""!!!",7CXpueG9R3t5xI4HUYCCVv,2021-07-22,album,95851,False,17,1,0.431,0.844,6,-18.909,1,0.0812,0.724,0.943,0.126,0.0931,119.871,4NqS7DbPFYwZmniGHCPMpm,spotify:artist:4NqS7DbPFYwZmniGHCPMpm,"['environmental', 'sleep', 'water']",60
Rain Storm Sample Library,Stormy Therapy,6Qd102xhWr8IG7MdcI2iN8,0,35 Rest & Relaxation With Natural Rain Sounds,2RiHu0wTtRnu7zbUt21b2t,2021-03-12,album,129000,False,7,1,0.234,0.481,10,-16.05,0,0.0559,0.0383,6.8e-05,0.372,0.0364,81.945,3Zgj4syrRPwo9zXGbwODPR,spotify:artist:3Zgj4syrRPwo9zXGbwODPR,"['environmental', 'sleep']",33
Deep Sleep,Relax with the Sea,1owT1422GESSybPn6Dk4TN,0,50 Chillout Songs for Deep Sleep and Relaxation,4vuYz4RHGPRSvSzZCuZosC,2021-11-26,album,178899,False,19,1,0.111,0.157,9,-25.089,1,0.035,0.663,0.964,0.125,0.19,86.658,4gGGFclZZyED2i5BgzGAlD,spotify:artist:4gGGFclZZyED2i5BgzGAlD,['sleep'],43
