artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
Isong,Have You Ever Heard A Love Song On Drill?,6ytZECedDqFmfyuoRMnaJQ,49,Have You Ever Heard A Love Song On Drill?,5jEmBbvQ1imzmzg37p2F98,2020-02-14,single,245034,True,1,1,0.721,0.552,5,-5.532,1,0.301,0.36,0.0,0.267,0.544,143.11,1v73SfOVR7QnGw7FEnhe5Z,spotify:artist:1v73SfOVR7QnGw7FEnhe5Z,"['london rap', 'r&drill']",33
Maia Wright,I’m Ready,5E8MLUtP2HU6EQGS2Wi0Js,29,Firsts,4ZOpFl53ICTgllRKHJvttY,2020-11-13,single,194355,False,3,1,0.691,0.759,6,-3.37,0,0.0584,0.111,0.0,0.128,0.72,106.982,5qQFXHDOeYjiZVrCUO56Pk,spotify:artist:5qQFXHDOeYjiZVrCUO56Pk,['vocal trance'],48
Basara,Rap Do Luffy: Eu Vou Morrer Tentando,4QoFPI1aC4She9mEmdn8Ob,27,Rap Do Luffy: Eu Vou Morrer Tentando,5CY8V8QP6qvUz5WwGJD7v6,2020-06-14,single,257779,False,1,1,0.432,0.601,10,-9.959,0,0.173,0.0127,0.0,0.109,0.248,165.856,2A8r4X2BCk6Y92EBYd3tP1,spotify:artist:2A8r4X2BCk6Y92EBYd3tP1,"['nerdcore brasileiro', 'rap geek']",46
Baby Lullaby Academy,Soothing Baby Sleep Aid,6Et8m5oWI2tqTTtxvw8UV9,25,"Baby Sleep Music: Ocean Waves Sounds, Baby Lullabies, Nursery Rhymes, Music For Kids and Baby Lullaby Music For Baby Sleep Aid and Soft Baby Music",4qoDAwoLPqnROco9xlGXfV,2020-08-25,compilation,108699,False,30,1,0.185,0.377,6,-28.032,0,0.082,0.91,0.816,0.128,0.0781,101.985,5E9Xn7QuCD3VYCuBqLxBdY,spotify:artist:5E9Xn7QuCD3VYCuBqLxBdY,['lullaby'],61
Rob $tone,Zeus,0eipr2VN38XDDFwVUMQMo0,25,Stone Cold: DELUXE EDITION,3n0uYyyL4ONNrl6RwbZ2ql,2020-05-08,album,144360,True,20,1,0.908,0.705,9,-5.511,0,0.276,0.281,2.77e-06,0.0766,0.741,146.409,2hWs22BmQkK4czFtDLnar2,spotify:artist:2hWs22BmQkK4czFtDLnar2,"['san diego rap', 'viral trap']",55
Facundo Majdalani,Fiebrev Tik Tok,7w48GWZGa3QapFx8E1XMW8,23,Fiebrev Tik Tok,6q1FqNPnMWbQxAgRAsbg73,2020-06-10,single,200000,False,1,1,0.588,0.806,2,-4.397,1,0.0313,0.0255,0.0,0.572,0.408,120.029,3NyQOEvPVM0jpm4Kh7sY5A,spotify:artist:3NyQOEvPVM0jpm4Kh7sY5A,['techengue'],47
Duygu Korkmaz,Baran Barî,74r7MJzrz1lWfVIqfuvYKN,18,Granî,0559MVVE9NM26zEL8VF5fp,2020-12-16,album,360347,False,4,1,0.437,0.729,0,-5.19,1,0.071,0.127,0.0,0.216,0.771,100.007,7ohKWtv29hLfWsNIgim8Ui,spotify:artist:7ohKWtv29hLfWsNIgim8Ui,['kurdish pop'],18
La Puri,Diamantes,00ixZkinakaeqDca5KP9Av,18,Para Gozarla,4vawtzFNdrIlhCV3NLcFdT,2020-07-02,album,198461,False,2,1,0.828,0.673,7,-6.085,1,0.109,0.205,1.89e-05,0.0834,0.595,103.991,7qFPgSlR8N4aehSqQWkklI,spotify:artist:7qFPgSlR8N4aehSqQWkklI,"['flamenco urbano', 'pop flamenco']",28
Ashley Campbell,Alice,5sjUQ1Yj3ZjjwT3bxMwdkS,17,Something Lovely,6oWAsxdtL5vHS1isSKuqeA,2020-10-09,album,204800,False,10,1,0.331,0.239,0,-10.049,1,0.0326,0.901,0.000111,0.0931,0.405,190.516,49mvmawPDTzmEaEPY5z0ew,spotify:artist:49mvmawPDTzmEaEPY5z0ew,[],31
Chams,Avoue,3KRgg9CS3ez4cHlYbLVLo3,13,L'âme agit,2yYvVTJJUSgUTgwtwZG7w6,2020-03-27,album,209142,True,2,1,0.331,0.705,11,-5.323,1,0.0525,0.086,0.00857,0.0858,0.174,139.904,0de4x9Wlh5yk138muPxZPt,spotify:artist:0de4x9Wlh5yk138muPxZPt,"['deconstructed club', 'hypertrance']",3
